# RUN METADATA
# Timestamp,2026-04-15T10:25:38
# Threshold,0.6
# Analysed,467
# Passed,101

ticker,score,reasoning,company_name,sector,industry,current_price,market_cap,pb_ratio,roe,roce,debt_to_equity,profit_cagr_3yr,revenue_cagr_3yr,eps_growth_1yr,pat_margin,gross_margin,gpm,opm,receivables_pct_sales,m_score_components,market_cap_crores,fcf_crores,pe_ratio,m_score_risk
HINDZINC,0.7162,GOOD candidate (Metals & Mining). Profile: Average Performer (Requires Strict Checklist Review).,HINDZINC,Metals & Mining,Unknown,584.1,0,18.019743,72.9,61.0,,2.45,4.7,46.2,33.234,73.285,76.7591779909809,42.35343966586967,0.3541055052813171,"{'dsri': np.float64(0.6415477935038676), 'gmi': np.float64(0.9860122850088767), 'sgi': np.float64(1.1765899864682003), 'lvgi': np.float64(1.2429545129367805), 'tata': np.float64(-0.11037982023775007)}",247921.0,14160.0,21.0,LOW
BAJAJHFL,0.7131,GOOD candidate (Financial Services). Profile: High-Risk Financial (NPA Threat). Caveat: Missing Quality data.,BAJAJHFL,Financial Services,Unknown,87.45,0,3.447664,,,,44.99,35.53,21.2,64.699996,99.217004,30.14556411815074,27.104535560915348,0.23835824765291203,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",,,29.444443,LOW
MARUTI,0.7113,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (55.2%).,MARUTI,Automobile and Auto Components,Unknown,13374.0,0,4.2156,15.9,21.7,,55.19,20.08,4.1000000000000005,8.693,27.464,22.94569827068271,9.83131324227666,4.434638967210647,"{'dsri': np.float64(1.3166906932496183), 'gmi': np.float64(0.9858013650322386), 'sgi': np.float64(1.080484277254883), 'lvgi': np.float64(0.6411712408681146), 'tata': np.float64(-0.012396587755869057)}",419413.0,16136.0,28.1,LOW
SBIN,0.7109,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Caveat: Missing Moat data.,SBIN,Financial Services,Unknown,1079.5,0,1.6831394,17.2,6.47,,29.91,13.97,9.3,22.498,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",996445.0,48486.0,12.3,LOW
POLYCAB,0.7108,GOOD candidate (Capital Goods). Profile: Average Performer (Requires Strict Checklist Review).,POLYCAB,Capital Goods,Unknown,7755.5,0,10.405123,21.4,29.7,,30.52,22.43,35.9,9.724,25.798,21.27963704925225,12.119255686617372,11.784388468123637,"{'dsri': np.float64(1.0223920661628114), 'gmi': np.float64(1.064260589021766), 'sgi': np.float64(1.2404789100073905), 'lvgi': np.float64(0.6540236378262595), 'tata': np.float64(0.015353231195312246)}",116959.0,1809.0,44.6,LOW
CANFINHOME,0.7104,GOOD candidate (Financial Services). Profile: High-Risk Financial (NPA Threat). Caveat: Missing Quality data; Missing Moat data.,CANFINHOME,Financial Services,Unknown,860.15,0,2.0967762,,,,22.08,18.85,24.9,63.762003,98.724,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",,,11.758715,LOW
IDBI,0.7097,GOOD candidate (Financial Services). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (44.4%). Caveat: Missing Moat data.,IDBI,Financial Services,Unknown,74.82,0,1.1537395,13.6,6.78,,44.41,11.55,,51.49700000000001,0.0,,,,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",80471.0,25796.0,8.63,LOW
IREDA,0.7079,GOOD candidate (Financial Services). Profile: High-Risk Financial (NPA Threat).,IREDA,Financial Services,Unknown,126.3,0,2.6205494,18.0,9.37,,38.92,33.53,32.5,45.951,99.28,65.12369648053522,62.80720150121929,0.04789518056634162,"{'dsri': None, 'gmi': None, 'sgi': None, 'lvgi': None, 'tata': None}",35481.0,-14460.0,18.9,LOW
HYUNDAI,0.7065,GOOD candidate (Automobile and Auto Components). Profile: Average Performer (Requires Strict Checklist Review). Notable: exceptional capital efficiency (53.9%).,HYUNDAI,Automobile and Auto Components,Unknown,1796.0,0,8.31189,41.8,53.9,,24.8,13.51,6.3,8.285,28.722998,26.322302113122976,10.084501310801928,3.5163959083092435,"{'dsri': np.float64(0.9609017709067821), 'gmi': np.float64(0.93703928036182), 'sgi': np.float64(0.9905611602287256), 'lvgi': np.float64(0.893316962254049), 'tata': np.float64(0.04303669966524305)}",145364.0,4345.0,25.1,LOW
DRREDDY,0.7056,GOOD candidate (Healthcare). Profile: Average Performer (Requires Strict Checklist Review). Notable: stellar profit growth (33.9%).,DRREDDY,Healthcare,Unknown,1214.2,0,2.7148125,18.0,22.7,,33.87,14.94,-14.299999999999999,16.363001,55.181999999999995,58.4969358133534,22.121738061959544,27.775815196522647,"{'dsri': np.float64(0.9656538984186465), 'gmi': np.float64(1.0018653377557376), 'sgi': np.float64(1.1661066613173618), 'lvgi': np.float64(1.8362034676001115), 'tata': np.float64(0.02051972762069742)}",101311.0,4643.0,18.2,LOW
